stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
SPR4389i,SPR4389i,SPRING GROVE AVE 4389,SPRING GROVE AVE & CRAWFORD AVE,39.16217,-84.526886,,,,,0
CENPARi,CENPARi,CENTRAL PKWY & PARKWAY INN,CENTRAL PKWY & CRAWFORD AVE,39.134596,-84.532281,,,,,0
CEN1913i,CEN1913i,CENTRAL PKWY 1913,CENTRAL PKWY & BAYMILLER ST,39.118462,-84.523668,,,,,0
EDEFULe,EDEFULe,Eden Park Dr & Fulton - eastbound,EDEN PARK DR & FULTON AVE,39.114215,-84.493547,,,,,0
EDEFULw,EDEFULw,Eden Park Dr & Fulton - westbound,EDEN PARK DR & FULTON AVE,39.114188,-84.493337,,,,,0
EDEKROe,EDEKROe,Eden Park Dr & Krohn Cons - eastbnd,EDEN PARK DR & FULTON AVE,39.115411,-84.490559,,,,,0
EDEKROw,EDEKROw,Eden Park Dr & Krohn Cons - westbnd,EDEN PARK DR & FULTON AVE,39.115518,-84.490723,,,,,0
PARLURn,PARLURn,Park & Luray - northbound,PARK AVE & IDA AVE,39.118536,-84.487655,,,,,0
PARLURs,PARLURs,Park & Luray - southbound,PARK AVE & KEMPER LN,39.11891,-84.487655,,,,,0
CEN2422o,CEN2422o,CENTRAL PKWY 2422,,39.126199,-84.533274,,,,,0
TRISEAo,TRISEAo,TRI COUNTY SEARS,CSX RAILROAD,39.289072,-84.460889,,,,,0
WIN9653i,WIN9653i,WINTON RD 9653,WINTON RD & PEPPER CIR,39.242252,-84.511131,,,,,0
PETMEHe,PETMEHe,PETE ROSE WAY & MEHRING WAY,E PETE ROSE WAY & PETE ROSE WAY,39.099434,-84.503046,,,,,0
RIV1157e,RIV1157e,RIVERSIDE DR 1157,EASTERN AVE & WHITTAKER ST,39.108184,-84.491814,,,,,0
RIV1191e,RIV1191e,RIVERSIDE DR 1191,EASTERN AVE & BAINS ST,39.110013,-84.490427,,,,,0
RIV1467e,RIV1467e,RIVERSIDE DR 1467,EASTERN AVE & WEEKS ST,39.112896,-84.488223,,,,,0
EAS4717e,EAS4717e,EASTERN AVE 4717,EASTERN AVE & WORTMAN ST,39.119482,-84.418186,,,,,0
WOOMELe,WOOMELe,WOOSTER PK & MELISSA CT,WOOSTER PIKE & MELISSA CT,39.161646,-84.315108,,,,,0
MOHOSAe,MOHOSAe,MOHAWK TL & OSAGE DR,MOHAWK TL & FERRY ST,39.177062,-84.273538,,,,,0
LILKROw,LILKROw,LILA AVE & KROGERS,LILA AVE & FERRY ST,39.175466,-84.281591,,,,,0
LIL789w,LIL789w,LILA AVE 789,LILA AVE & MOHAWK TL,39.17569,-84.282373,,,,,0
8TH1150w,8TH1150w,8TH ST 1150,W 8TH ST & DALTON AVE,39.104097,-84.535496,,,,,0
RIV2532w,RIV2532w,RIVER RD 2532,RIVER RD & DALTON AVE,39.096082,-84.558405,,,,,0
RIV2734w,RIV2734w,RIVER RD 2734,RIVER RD & MCCONNELL ST,39.09242,-84.56197,,,,,0
RIV4050w,RIV4050w,RIVER RD 4050,RIVER RD & ACCESS RD,39.076632,-84.609916,,,,,0
RIV4228w,RIV4228w,RIVER RD 4228,RIVER RD & WOCHER AVE,39.0768,-84.616963,,,,,0
GRAHUEw,GRAHUEw,GRACELY DR & HUEY AVE,,39.106372,-84.686856,,,,,0
